, ,,,,Distance moved,Velocity,Freezing,Freezing,Cruising,Cruising,Bursting,Bursting,Turn angle,Angular velocity,Meander,Meander
,,,,,CenterNApoint,CenterNApoint,Free Interval based on Velocity,Free Interval based on Velocity,Free Interval based on Velocity,Free Interval based on Velocity,Free Interval based on Velocity,Free Interval based on Velocity,CenterNApoint / absolute,CenterNApoint / absolute,CenterNApoint / absolute,CenterNApoint / absolute
,,,,,Total,Mean,Frequency,Cumulative Duration,Frequency,Cumulative Duration,Frequency,Cumulative Duration,Mean,Mean,Mean,Total
,,,,,mm,mm/s,,s,,s,,s,deg,deg/s,deg/mm,deg/mm
C1,Amp 0.1,Trial    10,A2,0:00:00-0:30:00,884.308,0.841013,162,597,231,10.68,40,2.12,114.446,2861.14,7670.62,200303000
C1,Amp 0.1,Trial    10,A8,0:00:00-0:30:00,1771.76,0.986415,358,1749.28,532,25.2,58,5.28,113.402,2835.04,6902.63,309162000
C1,Amp 0.1,Trial    10,B2,0:00:00-0:30:00,1530.81,0.85128,50,1109.92,59,5.52,34,4.08,118.417,2960.43,7202.57,321768000
C1,Amp 0.1,Trial    10,B8,0:00:00-0:30:00,1252.92,1.35562,531,1722.56,606,26.8,80,4.36,109.967,2749.16,5778.48,132957000
C1,Amp 0.1,Trial    10,C2,0:00:00-0:30:00,1472.72,0.819049,295,1594.6,370,17.04,69,3.92,115.626,2890.65,8011.54,356425000
C1,Amp 0.1,Trial    10,C8,0:00:00-0:30:00,1007.51,0.735152,51,1324.44,60,2.48,1,0.08,117.408,2935.19,7384.09,252182000
C1,Amp 0.1,Trial    10,D2,0:00:00-0:30:00,1905.82,1.09631,558,1217.56,820,36.44,143,6.72,110.807,2770.17,7149.72,308310000
C1,Amp 0.1,Trial    10,D8,0:00:00-0:30:00,2119.82,1.1787,576,1526.84,759,35.88,168,9.48,112.149,2803.74,6836.65,306562000
C1,Amp 0.1,Trial    10,E2,0:00:00-0:30:00,1131.28,1.2792,363,1266.72,558,25.04,83,4.6,107.743,2693.59,6749.6,147985000
C1,Amp 0.1,Trial    10,E8,0:00:00-0:30:00,1576.48,0.876584,198,1731.92,245,11.2,30,2,117.225,2930.62,7300.07,324911000
C1,Amp 0.1,Trial    10,F2,0:00:00-0:30:00,2538.83,1.41169,1018,1643.16,1238,54.32,160,8.24,107.254,2681.36,5694.1,255414000
C1,Amp 0.1,Trial    10,F8,0:00:00-0:30:00,2396.31,1.33464,904,1725.44,1109,48.24,111,6.16,109.393,2734.81,6016.32,269555000
C1,Amp 0.1,Trial    10,G2,0:00:00-0:30:00,2614.57,1.45922,857,1478.96,1057,49.48,292,14.92,108,2699.99,5956.18,266491000
C1,Amp 0.1,Trial    10,G8,0:00:00-0:30:00,5735.87,3.19071,2596,1399.96,3256,170.32,1139,66,88.4145,2210.36,4208.7,188844000
C1,Amp 0.1,Trial    10,H2,0:00:00-0:30:00,2091.32,1.25112,691,1724.04,919,44.2,207,12.6,110.537,2763.42,7164.56,296133000
C1,Amp 0.1,Trial    10,H8,0:00:00-0:30:00,2311.44,1.52297,898,1140.8,1086,52.6,313,15.48,106.568,2664.2,6284.1,237834000
C1,Amp 0.3,Trial    10,A3,0:00:00-0:30:00,2310.09,1.28644,502,1704.52,696,35.12,210,12,112.792,2819.79,6093.53,272953000
C1,Amp 0.3,Trial    10,A9,0:00:00-0:30:00,3324.33,1.9017,1338,1639.2,1856,88.24,450,24.48,101.578,2539.46,5641.61,246070000
C1,Amp 0.3,Trial    10,B3,0:00:00-0:30:00,1985.04,1.12291,660,1703.24,835,37.96,188,9.72,110.863,2771.58,7183.54,314603000
C1,Amp 0.3,Trial    10,B9,0:00:00-0:30:00,2434.55,1.37888,993,920.24,1212,55.44,250,13.6,108.282,2707.05,6495.76,285846000
C1,Amp 0.3,Trial    10,C3,0:00:00-0:30:00,1774.03,1.01503,426,1636.12,500,22.6,101,5.76,114.28,2857,6879.79,299491000
C1,Amp 0.3,Trial    10,C9,0:00:00-0:30:00,2608.27,1.51306,1126,1434.12,1408,64.88,308,15.56,106.488,2662.19,6286.98,270145000
C1,Amp 0.3,Trial    10,D3,0:00:00-0:30:00,1855.46,1.03171,480,1669.72,664,29.28,111,5.64,113.84,2846.01,7364.52,327935000
C1,Amp 0.3,Trial    10,D9,0:00:00-0:30:00,2278.22,1.26678,560,1692.36,638,31.24,196,10.24,115.089,2877.22,6365.19,285097000
C1,Amp 0.3,Trial    10,E3,0:00:00-0:30:00,1928.87,1.07255,535,1740.52,660,30.28,185,9.16,111.973,2799.32,7149.43,319301000
C1,Amp 0.3,Trial    10,E9,0:00:00-0:30:00,2212.47,1.23038,723,1732.16,922,42.48,176,9.88,110.14,2753.51,6884.72,308098000
C1,Amp 0.3,Trial    10,F3,0:00:00-0:30:00,3594.01,1.99894,1342,1663.24,1725,92.68,636,36.6,103.846,2596.16,5909,264900000
C1,Amp 0.3,Trial    10,G3,0:00:00-0:30:00,1379.03,0.768259,247,1736,315,14.88,40,3.04,116.078,2901.95,8102.08,358509000
C1,Amp 0.3,Trial    10,G9,0:00:00-0:30:00,2915.03,1.62086,1063,1664.16,1261,62.44,359,18.76,108.684,2717.09,5683.52,254752000
C1,Amp 0.3,Trial    10,H3,0:00:00-0:30:00,2305.08,1.30239,847,1643.32,1059,50.68,213,12,109.323,2733.07,6537.53,283265000
C1,Amp 0.3,Trial    10,H9,0:00:00-0:30:00,2716.34,1.51059,1203,1221.16,1540,69.64,209,12.08,105.215,2630.37,6087.78,272970000
C1,Amp 1,Trial    10,A4,0:00:00-0:30:00,1581.87,0.87958,216,1669.36,265,13.12,59,4.08,116.299,2907.48,7337.11,325643000
C1,Amp 1,Trial    10,A10,0:00:00-0:30:00,2689.34,1.52692,1313,1253.8,1641,74,274,14.64,103.095,2577.36,6364.78,275958000
C1,Amp 1,Trial    10,B4,0:00:00-0:30:00,369.993,0.514708,3,609.08,3,0.12,0,0,118.926,2973.16,9472.95,169310000
C1,Amp 1,Trial    10,B10,0:00:00-0:30:00,1921.74,1.28817,690,1129.44,883,40.8,174,9.2,110.969,2774.22,6908.41,257055000
C1,Amp 1,Trial    10,C4,0:00:00-0:30:00,1868.5,1.06881,501,1609.76,681,30,81,4.92,112.796,2819.89,6797.79,295765000
C1,Amp 1,Trial    10,C10,0:00:00-0:30:00,3275.42,1.82756,1433,1378.08,1842,85.88,341,18.32,103.846,2596.16,5742.44,255447000
C1,Amp 1,Trial    10,D4,0:00:00-0:30:00,2499.69,1.39026,826,1570.64,1160,55.2,230,14.68,108.204,2705.09,6426.34,288170000
C1,Amp 1,Trial    10,D10,0:00:00-0:30:00,3195.11,1.77668,1632,1671.44,2002,87.56,260,13.08,104.117,2602.93,5286.16,237232000
C1,Amp 1,Trial    10,E4,0:00:00-0:30:00,1340.88,0.745581,145,185.76,194,8.8,35,1.96,117.825,2945.62,7920.37,354848000
C1,Amp 1,Trial    10,E10,0:00:00-0:30:00,2044.45,1.13679,551,1759.36,630,28.96,88,5.64,113.936,2848.39,6267.22,278446000
C1,Amp 1,Trial    10,F4,0:00:00-0:30:00,2231.44,1.24076,912,1722.92,1093,51,228,12,109.669,2741.72,7167.3,318178000
C1,Amp 1,Trial    10,F10,0:00:00-0:30:00,1520.61,0.849807,206,1564.16,269,11.68,22,1.32,115.548,2888.71,7285.94,323081000
C1,Amp 1,Trial    10,G4,0:00:00-0:30:00,1606.23,1.0626,330,1746.68,448,23.6,155,8.8,114.365,2859.13,7413.12,278541000
C1,Amp 1,Trial    10,G10,0:00:00-0:30:00,2201.58,1.22424,628,1737.32,951,40.12,55,2.96,111.475,2786.87,6205.64,278528000
C1,Amp 1,Trial    10,H4,0:00:00-0:30:00,1637.83,1.11411,500,1633.32,677,32.24,155,8.68,111.442,2786.05,7657.13,279554000
C1,Amp 1,Trial    10,H10,0:00:00-0:30:00,1772.7,0.98569,353,1478.56,483,21.64,89,4.92,115.467,2886.68,7283.04,325042000
C1,Amp 3,Trial    10,A5,0:00:00-0:30:00,2426.76,1.34976,874,1679.64,1067,49.88,212,12.08,108.999,2724.98,6280.7,281463000
C1,Amp 3,Trial    10,A11,0:00:00-0:30:00,1270.88,0.841354,70,1322.76,118,4.92,8,0.36,118.584,2964.6,6803.15,256336000
C1,Amp 3,Trial    10,B5,0:00:00-0:30:00,1297.57,0.7215,191,1767.92,246,11.8,49,3,116.475,2911.87,8569.98,382590000
C1,Amp 3,Trial    10,B11,0:00:00-0:30:00,2360.65,1.34046,948,1411.6,1197,52.52,191,9.68,108.142,2703.54,6381.9,280402000
C1,Amp 3,Trial    10,C5,0:00:00-0:30:00,2212.09,1.23838,524,1732.32,744,35.6,178,10,112.803,2820.09,6273.69,279455000
C1,Amp 3,Trial    10,C11,0:00:00-0:30:00,2141.59,1.1908,633,693.32,800,36.04,159,8.2,112.267,2806.68,6460.91,289151000
C1,Amp 3,Trial    10,D5,0:00:00-0:30:00,1695.75,0.942899,97,1712.44,120,5.76,24,1.56,118.15,2953.76,6505.83,292203000
C1,Amp 3,Trial    10,D11,0:00:00-0:30:00,1619.13,0.900297,396,1752.96,501,22.04,57,3.16,113.989,2849.71,7682.22,343610000
C1,Amp 3,Trial    10,E5,0:00:00-0:30:00,3321.38,1.93328,1309,1401.68,1714,81.28,418,22.04,104.313,2607.83,5155.53,220693000
C1,Amp 3,Trial    10,E11,0:00:00-0:30:00,1397.55,0.777092,105,358.24,170,7.68,22,1.4,117.446,2936.15,7238.73,324411000
C1,Amp 3,Trial    10,F5,0:00:00-0:30:00,1777.13,0.988149,182,1723.88,288,13.12,33,2.28,115.991,2899.77,6412.55,287410000
C1,Amp 3,Trial    10,F11,0:00:00-0:30:00,1767.54,0.982816,509,1720.72,609,26.08,44,2.72,113.01,2825.24,6752.45,302132000
C1,Amp 3,Trial    10,G5,0:00:00-0:30:00,860.912,0.478699,1,1153.88,2,0.08,0,0,119.793,2994.83,10088.8,427867000
C1,Amp 3,Trial    10,G11,0:00:00-0:30:00,2031.43,1.31361,953,1600.52,1146,49.44,142,6.88,108.612,2715.3,6413.29,242718000
C1,Amp 3,Trial    10,H5,0:00:00-0:30:00,2405.61,1.33761,749,1716.24,1124,50.44,139,8.32,108.565,2714.13,6165.54,275846000
C1,Amp 3,Trial    10,H11,0:00:00-0:30:00,1699.8,0.945848,466,1713.04,662,27.68,37,1.96,113.482,2837.05,7240.12,324357000
C1,Amp 10,Trial    10,A6,0:00:00-0:30:00,1019.26,0.840339,166,1706,200,8.64,20,1.2,118.386,2959.64,7299.2,217793000
C1,Amp 10,Trial    10,A12,0:00:00-0:30:00,444.805,0.555173,15,1019.4,18,0.76,2,0.12,119.321,2983.02,8959.61,178753000
C1,Amp 10,Trial    10,B6,0:00:00-0:30:00,1144.7,0.636498,27,1657.76,39,1.92,12,0.68,118.09,2952.26,8495.53,375970000
C1,Amp 10,Trial    10,B12,0:00:00-0:30:00,1135.16,0.670424,8,1438.88,11,0.6,4,0.24,118.901,2972.51,7700.6,324103000
C1,Amp 10,Trial    10,C6,0:00:00-0:30:00,1786.39,1.0066,488,1708.2,653,29.4,41,2.28,112.296,2807.39,7081.93,313050000
C1,Amp 10,Trial    10,C12,0:00:00-0:30:00,950.263,0.645436,3,791,5,0.2,0,0,119.28,2982.01,7863.25,288164000
C1,Amp 10,Trial    10,D6,0:00:00-0:30:00,1813.44,1.00834,342,1745.6,418,19.04,52,3.36,115.054,2876.35,6526.86,292847000
