,,,,,Distance moved,Velocity,Freezing,Freezing,Cruising,Cruising,Bursting,Bursting,Turn angle,Angular velocity,Meander,Meander
,,,,,CenterNApoint,CenterNApoint,Free Interval based on Velocity,Free Interval based on Velocity,Free Interval based on Velocity,Free Interval based on Velocity,Free Interval based on Velocity,Free Interval based on Velocity,CenterNApoint / absolute,CenterNApoint / absolute,CenterNApoint / absolute,CenterNApoint / absolute
,,,,,Total,Mean,Frequency,Cumulative Duration,Frequency,Cumulative Duration,Frequency,Cumulative Duration,Mean,Mean,Mean,Total
,,,,,mm,mm/s,,s,,s,,s,deg,deg/s,deg/mm,deg/mm
T1,Cocaine 0.1,Trial     7,A2,0:00:00-0:05:00,390.539,1.46753,122,287.08,156,7.12,25,1.6,105.453,2636.34,5464.11,36150500
T1,Cocaine 0.1,Trial     7,A2,0:05:00-0:10:00,602.316,2.00879,274,277.08,340,15.56,64,3.6,95.006,2375.15,4503.53,33659400
T1,Cocaine 0.1,Trial     7,A2,0:10:00-0:15:00,380.669,1.26958,123,290.48,148,6.56,25,1.36,109.839,2745.97,5759.37,43080100
T1,Cocaine 0.1,Trial     7,A2,0:15:00-0:20:00,720.97,2.40451,397,262.04,573,24.64,55,2.96,90.3781,2259.45,4164.6,31117900
T1,Cocaine 0.1,Trial     7,A2,0:20:00-0:25:00,457.615,1.5262,143,287.76,172,8.52,42,2.8,103.669,2591.72,5500.26,41142000
T1,Cocaine 0.1,Trial     7,A2,0:25:00-0:30:00,667.582,2.22705,384,265.88,517,22.36,46,2.44,93.8035,2345.09,4265.69,31894500
T1,Cocaine 0.1,Trial     7,A2,0:30:00-0:35:00,543.477,1.81207,231,276.96,333,14.56,39,2.16,97.5824,2439.56,4793.88,35901400
T1,Cocaine 0.1,Trial     7,A2,0:35:00-0:40:00,257.374,0.858373,12,114.32,12,1.08,9,0.92,118.909,2972.72,6853.05,51233400
T1,Cocaine 0.1,Trial     7,A2,0:40:00-0:45:00,0.00587367,0.146842,0,0,0,0,0,0,157.282,3932.05,26777.5,26777.5
T1,Cocaine 0.1,Trial     7,A8,0:00:00-0:05:00,151.216,0.681643,5,221.56,6,0.28,1,0.04,115.454,2886.36,7064.01,38816700
T1,Cocaine 0.1,Trial     7,A8,0:05:00-0:10:00,262.311,0.874836,20,298.2,24,1.28,6,0.4,115.425,2885.62,6155.51,45987800
T1,Cocaine 0.1,Trial     7,A8,0:10:00-0:15:00,331.049,1.10409,47,296.48,56,2.64,16,0.84,114.905,2872.62,5639.94,42186800
T1,Cocaine 0.1,Trial     7,A8,0:15:00-0:20:00,770.805,2.57072,414,262.52,551,24.84,93,5.08,89.0529,2226.32,4045.84,30214300
T1,Cocaine 0.1,Trial     7,A8,0:20:00-0:25:00,278.809,0.92986,31,297.6,36,1.68,8,0.52,114.8,2870,6305.39,47025600
T1,Cocaine 0.1,Trial     7,A8,0:25:00-0:30:00,953.222,3.17995,451,257.16,599,28.48,118,7.16,77.4623,1936.56,3245,24217400
T1,Cocaine 0.1,Trial     7,A8,0:30:00-0:35:00,438.865,1.46327,148,287.48,186,8.68,36,1.88,104.742,2618.55,5621.19,41973400
T1,Cocaine 0.1,Trial     7,A8,0:35:00-0:40:00,184.978,0.616923,6,35.64,7,0.52,5,0.4,118.726,2968.14,8672.58,64246500
T1,Cocaine 0.1,Trial     7,A8,0:40:00-0:45:00,0.0239002,0.597504,0,0,0,0,0,0,180,4500,7531.33,7531.33
T1,Cocaine 0.1,Trial     7,B2,0:00:00-0:05:00,167.055,0.696759,4,239.6,4,0.16,0,0,119.31,2982.75,7019.74,41928900
T1,Cocaine 0.1,Trial     7,B2,0:05:00-0:10:00,406.369,1.35529,117,289.04,146,7.52,42,2.68,107.731,2693.27,6020.52,45009400
T1,Cocaine 0.1,Trial     7,B2,0:10:00-0:15:00,244.78,0.81637,2,299.92,1,0.08,1,0.08,118.637,2965.93,6277.71,46844300
T1,Cocaine 0.1,Trial     7,B2,0:15:00-0:20:00,628.396,2.09577,330,271.96,412,18.36,75,4.12,97.1358,2428.39,4763.44,35387600
T1,Cocaine 0.1,Trial     7,B2,0:20:00-0:25:00,263.772,0.879708,17,298.4,25,1.08,5,0.28,117.553,2938.83,6345.9,47416600
T1,Cocaine 0.1,Trial     7,B2,0:25:00-0:30:00,691.308,2.30621,343,268.36,452,20.92,91,5.08,92.2359,2305.9,4520.67,33697100
T1,Cocaine 0.1,Trial     7,B2,0:30:00-0:35:00,860.69,2.86973,497,255.8,657,28.64,79,4,69.2404,1731.01,2502.21,18749100
T1,Cocaine 0.1,Trial     7,B2,0:35:00-0:40:00,722.76,2.41049,342,269.32,432,20.08,107,5.6,82.7273,2068.18,3935.85,29385000
T1,Cocaine 0.1,Trial     7,B2,0:40:00-0:45:00,0.0563808,1.40952,0,0,0,0,0,0,65.6784,1641.96,1164.91,1164.91
T1,Cocaine 0.1,Trial     7,B8,0:00:00-0:05:00,483.976,1.61887,191,280,282,12.6,39,1.84,103.451,2586.27,5699.8,42264100
T1,Cocaine 0.1,Trial     7,B8,0:05:00-0:10:00,403.531,1.34582,138,287.88,179,8.08,22,1.4,108.247,2706.16,6608.1,49448400
T1,Cocaine 0.1,Trial     7,B8,0:10:00-0:15:00,349.52,1.16569,105,291.28,132,6.04,21,1.2,112.179,2804.47,6433.53,48084200
T1,Cocaine 0.1,Trial     7,B8,0:15:00-0:20:00,514.738,1.71671,239,276.4,350,15.12,36,1.8,102.856,2571.39,5562.19,41482800
T1,Cocaine 0.1,Trial     7,B8,0:20:00-0:25:00,268.579,0.895742,29,298,34,1.44,2,0.12,116.042,2901.06,6494.9,48581900
T1,Cocaine 0.1,Trial     7,B8,0:25:00-0:30:00,388.231,1.29514,110,288.48,163,7.36,28,1.52,111.217,2780.42,6584.16,49183700
T1,Cocaine 0.1,Trial     7,B8,0:30:00-0:35:00,249.376,0.831474,29,297.92,35,1.48,1,0.08,117.345,2933.62,7128.35,53184600
T1,Cocaine 0.1,Trial     7,B8,0:35:00-0:40:00,217.221,0.724457,3,124.44,4,0.16,0,0,118.863,2971.59,7316.89,54693800
T1,Cocaine 0.1,Trial     7,B8,0:40:00-0:45:00,0.0220512,0.551281,0,0,0,0,0,0,133.663,3341.58,6061.48,6061.48
T1,Cocaine 0.1,Trial     7,C2,0:00:00-0:05:00,375.275,1.25275,106,288.32,153,7.68,41,2.6,110.106,2752.65,6879.37,49731000
T1,Cocaine 0.1,Trial     7,C2,0:05:00-0:10:00,610.47,2.03598,310,273.12,400,17.92,49,2.88,97.7387,2443.47,5057.46,37769100
T1,Cocaine 0.1,Trial     7,C2,0:10:00-0:15:00,619.159,2.06496,338,271,434,19.32,50,3.08,95.9619,2399.05,5123.01,38279100
T1,Cocaine 0.1,Trial     7,C2,0:15:00-0:20:00,517.529,1.72602,202,279.84,281,13.2,61,3.44,106.517,2662.91,5787.77,43234600
T1,Cocaine 0.1,Trial     7,C2,0:20:00-0:25:00,232.779,0.776343,6,299.6,6,0.24,1,0.04,119.895,2997.37,6836.66,51151900
T1,Cocaine 0.1,Trial     7,C2,0:25:00-0:30:00,637.724,2.12745,241,272.96,352,17.72,87,5.4,101.12,2528.01,5325.19,39800500
T1,Cocaine 0.1,Trial     7,C2,0:30:00-0:35:00,371.987,1.24029,99,290.88,138,6.16,19,1.2,112.049,2801.23,6081.09,45517000
T1,Cocaine 0.1,Trial     7,C2,0:35:00-0:40:00,219.193,0.731034,4,205.36,4,0.28,3,0.16,120.487,3012.18,7085.42,52899800
T1,Cocaine 0.1,Trial     7,C2,0:40:00-0:45:00,0.063684,1.5921,0,0,0,0,0,0,176.095,4402.39,2765.14,2765.14
T1,Cocaine 0.1,Trial     7,C8,0:00:00-0:05:00,446.557,1.50356,144,282.48,204,9.72,33,1.96,104.875,2621.87,5429.54,39961400
T1,Cocaine 0.1,Trial     7,C8,0:05:00-0:10:00,320.38,1.0685,46,295.36,65,3.08,13,0.84,114.309,2857.73,5829.71,43454600
T1,Cocaine 0.1,Trial     7,C8,0:10:00-0:15:00,296.667,0.989418,31,296.76,44,2.12,10,0.72,117.029,2925.72,5984.62,44645200
T1,Cocaine 0.1,Trial     7,C8,0:15:00-0:20:00,604.63,2.01651,365,269.52,457,19.72,59,2.6,103.012,2575.31,5209.27,38803900
T1,Cocaine 0.1,Trial     7,C8,0:20:00-0:25:00,361.829,1.20674,85,293.36,95,4.92,27,1.8,112.636,2815.9,6393.97,47622300
T1,Cocaine 0.1,Trial     7,C8,0:25:00-0:30:00,643.034,2.14516,354,270.52,448,19.6,63,3.08,91.9674,2299.18,4516.5,33711200
T1,Cocaine 0.1,Trial     7,C8,0:30:00-0:35:00,637.082,2.12417,296,274.12,382,17.08,57,3.4,87.1771,2179.43,4339.49,32463700
T1,Cocaine 0.1,Trial     7,C8,0:35:00-0:40:00,346.547,1.15577,95,179.28,127,5.72,17,1.12,108.333,2708.32,6309.68,47145900
T1,Cocaine 0.1,Trial     7,C8,0:40:00-0:45:00,0.0359141,0.897851,0,0,0,0,0,0,163.609,4090.23,4555.57,4555.57
T1,Cocaine 0.1,Trial     7,D2,0:00:00-0:05:00,258.883,1.02019,47,295.8,56,2.6,10,0.6,113.59,2839.74,5886.79,37027900
T1,Cocaine 0.1,Trial     7,D2,0:05:00-0:10:00,1059.75,3.5344,579,247.88,735,34.28,190,9.96,70.9776,1774.44,2767.87,20703700
T1,Cocaine 0.1,Trial     7,D2,0:10:00-0:15:00,641.886,2.14076,273,273.6,376,17.92,104,5.44,95.5532,2388.83,4701.63,35102400
T1,Cocaine 0.1,Trial     7,D2,0:15:00-0:20:00,825.59,2.75343,455,257.96,590,27.2,131,6.96,90.4408,2261.02,4223.86,31531100
T1,Cocaine 0.1,Trial     7,D2,0:20:00-0:25:00,307.569,1.02578,28,297.48,36,1.72,10,0.48,117.843,2946.08,5569.56,41682600
T1,Cocaine 0.1,Trial     7,D2,0:25:00-0:30:00,805.42,2.68688,399,262.6,510,24.2,126,6.8,92.2342,2305.86,4179.61,31150600
T1,Cocaine 0.1,Trial     7,D2,0:30:00-0:35:00,715.339,2.3851,348,268.4,461,20.76,71,3.72,83.7838,2094.6,3823.75,28628400
T1,Cocaine 0.1,Trial     7,D2,0:35:00-0:40:00,277.138,0.924288,25,82.76,31,1.6,11,0.6,118.223,2955.58,6338.44,47430500
T1,Cocaine 0.1,Trial     7,D2,0:40:00-0:45:00,0.0648196,1.62049,0,0,0,0,0,0,153.829,3845.74,2373.19,2373.19
T1,Cocaine 0.1,Trial     7,D8,0:00:00-0:05:00,227.182,1.08554,42,296.44,54,2.28,3,0.2,112.65,2816.24,5606.31,29186400
T1,Cocaine 0.1,Trial     7,D8,0:05:00-0:10:00,276.342,0.921633,3,299.92,2,0.08,0,0,116.582,2914.55,5649.4,42280100
T1,Cocaine 0.1,Trial     7,D8,0:10:00-0:15:00,259.047,0.863952,5,299.8,4,0.16,0,0,118.024,2950.61,6219.1,46543800
T1,Cocaine 0.1,Trial     7,D8,0:15:00-0:20:00,1044.2,3.48251,636,247.24,791,35.72,118,6.72,64.8741,1621.85,1915.61,14355600
T1,Cocaine 0.1,Trial     7,D8,0:20:00-0:25:00,286.59,0.955811,13,298.84,17,0.72,2,0.08,115.337,2883.42,5525.49,41374900
T1,Cocaine 0.1,Trial     7,D8,0:25:00-0:30:00,777.501,2.59374,390,266.72,500,22.6,75,4.32,88.7319,2218.3,3457.98,25900300
